analysis_id,outcome,measure,scenario,k,estimate,ci_low,ci_high,p_value,tau2,i2,pi_low,pi_high
2.1,CDR-SB scale at 18 months,SMD,Exclude futility-terminated trials,5,-0.14745944101499425,-0.3136761693483492,0.018757287318360655,0.06945753489153396,0.008853824809476187,72.47974591794748,-0.45710280776425605,0.16218392573426754
2.1,CDR-SB scale at 18 months,SMD,Exclude all early-terminated trials,4,-0.15454974235195046,-0.32610888228529045,0.0170093975813895,0.06421197569418487,0.008705749070638142,77.48342066272086,-0.49748421992199476,0.18838473521809385
2.2,CDR-SB scale at 24 months,SMD,Cochrane class pool,2,0.031545498817869166,-0.23476977988617054,0.29786077752190887,0.8164129089891101,0,0,NA,NA
2.3,CDR-SB scale above 24 months,SMD,Cochrane class pool,2,-0.07010296517035751,-0.1587119765097488,0.018506046169033785,0.12099174319043678,0,0,NA,NA
2.3,CDR-SB scale above 24 months,SMD,Exclude futility-terminated trials,2,-0.07010296517035751,-0.1587119765097488,0.018506046169033785,0.12099174319043678,0,0,NA,NA
2.3,CDR-SB scale above 24 months,SMD,Exclude all early-terminated trials,2,-0.07010296517035751,-0.1587119765097488,0.018506046169033785,0.12099174319043678,0,0,NA,NA
2.4,CDR-SB 24 months mean difference,MD,Cochrane class pool,2,0.03187919463087242,-0.6425001302343454,0.7062585194960902,0.9261806438041792,0,0,NA,NA
3.1,DAD total score at 18 months,SMD,Cochrane class pool,4,0.04141224471514686,-0.15981967207131642,0.2426441615016101,0.5592504435881637,0.00824633215066201,47.33975760102408,-0.31074232858375805,0.3935668180140518
3.1,DAD total score at 18 months,SMD,Exclude futility-terminated trials,4,0.04141224471514686,-0.15981967207131642,0.2426441615016101,0.5592504435881637,0.00824633215066201,47.33975760102408,-0.31074232858375805,0.3935668180140518
3.1,DAD total score at 18 months,SMD,Exclude all early-terminated trials,2,0.0686184531359397,-0.20569618981629453,0.3429330960881739,0.6239390952672073,0.03173414076800043,80.98530989848801,NA,NA
3.2,ADCS-ADL score at 18 months,SMD,Cochrane class pool,3,0.0917883181257133,0.026397093158122553,0.15717954309330404,0.02633697419299466,0,0,0.026397093158122553,0.15717954309330404
3.2,ADCS-ADL score at 18 months,SMD,Exclude futility-terminated trials,2,0.08998845305109139,0.02322570134223649,0.1567512047599463,0.008246568120055775,0,0,NA,NA
3.2,ADCS-ADL score at 18 months,SMD,Exclude all early-terminated trials,2,0.08998845305109139,0.02322570134223649,0.1567512047599463,0.008246568120055775,0,0,NA,NA
3.3,ADCS-ADL score at 24 months,SMD,Cochrane class pool,2,0.08682091859005583,-0.5172299831097308,0.6908718202898424,0.7781675439764495,0.13469954542799994,67.8368253887619,NA,NA
3.4,ADCS-ADL score above 24 months,SMD,Cochrane class pool,2,0.06945122787161243,-0.0188582793976029,0.15776073514082775,0.12321497239665605,0,0,NA,NA
3.4,ADCS-ADL score above 24 months,SMD,Exclude futility-terminated trials,2,0.06945122787161243,-0.0188582793976029,0.15776073514082775,0.12321497239665605,0,0,NA,NA
3.4,ADCS-ADL score above 24 months,SMD,Exclude all early-terminated trials,2,0.06945122787161243,-0.0188582793976029,0.15776073514082775,0.12321497239665605,0,0,NA,NA
